shortnam;africa;lat_abst;avexpr;logpgp95;other;asia;loghjypl;baseco
RUS;0;0.6666667;8.454545;8.405144;0;0;-0.8746691;
RWA;1;0.0222222;;6.476973;0;0;-3.146555;
SAU;0;0.2777778;7.590909;9.2399;0;1;-0.638659;
SDN;1;0.1666667;4;7.306531;0;0;-2.703063;1
SEN;1;0.1555556;6;7.402452;0;0;-2.631089;1
SGP;0;0.0135556;9.318182;10.14643;0;1;-0.5008753;1
SLE;1;0.0922222;5.818182;6.253829;0;0;-2.748872;1
SLV;0;0.15;5;7.948032;0;0;-1.851509;1
SOM;1;0.1111111;3;;0;0;-3.015935;
STP;0;0.0111111;8.409091;;0;0;;
SUR;0;0.0444444;4.681818;8.01;0;0;-1.370421;
SVK;0;0.5377778;;8.852236;0;0;;
SVN;0;0.5111111;;9.300181;0;0;;
SWE;0;0.6888889;9.5;9.866304;0;0;-0.239527;
SWZ;1;0.2922222;;8.10772;0;0;-1.807889;
SYR;0;0.3888889;5.818182;8.029433;0;1;-0.8255364;
TCD;1;0.1666667;;6.835185;0;0;-3.442019;
TGO;1;0.0888889;6.909091;7.222566;0;0;-3.218876;1
THA;0;0.1666667;7.636364;8.774931;0;1;-1.851509;
TJK;0;0.4333333;;6.887553;0;1;;
TKM;0;0.4444444;;7.640123;0;1;;
TTO;0;0.1222222;7.454545;8.76873;0;0;-0.6971552;1
TUN;1;0.3777778;6.454545;8.482602;0;0;-1.527858;1
TUR;0;0.4333333;7.454545;8.641179;0;1;-1.52326;
TWN;0;;9.227273;;0;1;-0.809681;
TZA;1;0.0666667;6.636364;6.253829;0;0;-3.442019;1
UGA;1;0.0111111;4.454545;6.966024;0;0;-3.442019;1
UKR;0;0.5444444;;7.811974;0;0;;
URY;0;0.3666667;7;9.031214;0;0;-1.07881;1
USA;0;0.4222222;10;10.21574;0;0;0;1
UZB;0;0.4555556;;7.807917;0;1;;
VEN;0;0.0888889;7.136364;9.071078;0;0;-0.7031975;1
VNM;0;0.1777778;6.409091;7.279319;0;1;;1
YEM;0;0.1666667;6.363636;6.64639;0;1;-1.551169;
YUG;0;0.4888889;6.318182;;0;0;-1.203973;
ZAF;1;0.3222222;6.863636;8.885994;0;0;-1.386294;1
ZAR;1;0;3.5;6.866933;0;0;-3.411248;1
ZMB;1;0.1666667;6.636364;6.813445;0;0;-2.97593;
ZWE;1;0.2222222;6;7.696213;0;0;-2.733368;
